"url","old_title","new_title","old_description","new_description","reason"
"https://hotdogtrays.com/hot-dog-trays-for-food-trucks/","","Hot Dog Trays for Food Trucks | Compact and Fast","","Trays that suit a food truck: tight storage, one-handed assembly, outdoor conditions and branding that travels.","New page created during the SEO expansion"
"https://hotdogtrays.com/hot-dog-trays-in-bulk/","","Hot Dog Trays in Bulk | Wholesale Ordering Guide","","How to plan bulk hot dog tray orders: quantity, storage, print setup, cost drivers and a sensible reorder rhythm.","New page created during the SEO expansion"
"https://hotdogtrays.com/hot-dog-trays-vs-paper-boats/","","Hot Dog Trays vs Paper Boats | Which Format Fits","","Trays and paper boats hold food differently. Compare sidewalls, food fit, carrying, service speed and printing.","New page created during the SEO expansion"
"https://hotdogtrays.com/paper-vs-plastic-hot-dog-trays/","","Paper vs Plastic Hot Dog Trays | Honest Comparison","","A neutral comparison of paper and plastic hot dog trays across strength, grease, printing, storage and disposal.","New page created during the SEO expansion"
"https://hotdogtrays.com/privacy-policy/","Privacy Policy - Hot Dog Trays","Privacy Policy - Hot Dog Trays","","How HotDogTrays.com collects, uses, protects and discloses information when you visit or interact with our website.","No description existed; created from the visible content"
"https://hotdogtrays.com/product/cardboard-hot-dog-holders/","Cardboard Hot Dog Holders Wholesale | Hot Dog Trays","Cardboard Hot Dog Holders | Custom Printed Pockets","Order Cardboard Hot Dog Holders for clean serving and quick handling. free design, fast shipping & durable materials, Organize with Hot Dog Trays","Cardboard hot dog holders with a close pocket fit for handheld eating. Custom sizes and printing for concessions and events.","Ranks 9.7 for ""hot dog cardboard holder"". Title leads with the holder format and its pocket structure to separate it from the cardboard trays page."
"https://hotdogtrays.com/product/cardboard-hot-dog-trays/","Cardboard Hot Dog Trays Wholesale | Hot Dog Trays","Cardboard Hot Dog Trays | Rigid Board, Custom","Cardboard hot dog trays for quick service and events. free design, fast shipping & durable materials, Organize with Hot Dog Trays","Rigid cardboard hot dog trays for heavier portions and longer carries. Custom sizes, printing and bulk pricing.","Title names the board rigidity to separate it from the cardboard holders page."
"https://hotdogtrays.com/product/disposable-hot-dog-holders/","Disposable Hot Dog Holders Wholesale | Hot Dog Trays","Disposable Hot Dog Holders | Single Use, Bulk","Serve dogs cleanly with disposable hot dog holders in custom sizes and prints. free design, fast shipping & durable materials, Organize with Hot Dog Trays","Single-use hot dog holders for fast service with no washing up. Custom sizes, printing and wholesale quantities.","Differentiated on the single-use benefit rather than repeating ""Wholesale""."
"https://hotdogtrays.com/product/disposable-hot-dog-trays/","Disposable Hot Dog Trays Wholesale | Hot Dog Trays","Disposable Hot Dog Trays | Single Use in Bulk","Order disposable hot-dog trays for clean serving at rates. free design, fast shipping & durable materials, Organize with Hot Dog Trays","Disposable hot dog trays for high-turnover service. Custom sizes, printing and bulk quantities with no washing up.","Differentiated on single-use and turnover rather than the repeated modifier."
"https://hotdogtrays.com/product/hot-dog-boats-paper/","Hot Dog Boats Paper Wholesale | Hot Dog Tray","Paper Hot Dog Boats | Custom Trays in Bulk","Hot Dog Boats Paper for events and food service at rates. free design, fast shipping & durable materials, Organize with Hot Dog Trays.","Order paper hot dog boats in custom sizes and prints. Grease-resistant options for events, food trucks and bulk food service.","Best performing page (14 clicks, position 10.6). New title leads with ""paper hot dog boats"", the exact top query, instead of the repeated ""Wholesale"" pattern."
"https://hotdogtrays.com/product/hot-dog-container-paper/","Hot Dog Container Paper Wholesale | Hot Dog Trays","Paper Hot Dog Containers | To-Go and Takeaway","Serve hot dogs cleanly with hot dog container paper that resists grease and holds shape: free design, fast shipping & durable materials.","Paper hot dog containers for takeaway and pickup. Grease-resistant board, custom sizes and printing for to-go service.","Title now carries the to-go intent the page actually serves, replacing the uniform wholesale pattern."
"https://hotdogtrays.com/product/hot-dog-food-tray/","Hot Dog Food Tray Wholesale | Hot Dog Tray","Hot Dog Food Trays | Custom Printed Food Service","Serve hot dogs neatly with a hot-dog food tray designed for fast service. Free design, fast shipping & durable materials, Organize with Hot Dog Trays","Hot dog food trays for fast counter service. Custom sizes, grease-resistant options and printed branding in bulk.","Uniform wholesale title replaced with the food-service intent."
"https://hotdogtrays.com/product/hot-dog-paper-holders/","Hot Dog Paper Holders Wholesale | Hot Dog Trays","Hot Dog Paper Holders | Custom Sizes and Printing","Order hot dog paper holders for clean serving and easy handling. free design, fast shipping & durable materials, Organize with Hot Dog Trays","Paper hot dog holders that keep the bun supported for handheld service. Custom sizes, printing and bulk quantities.","Repeated wholesale pattern replaced with the customisation intent."
"https://hotdogtrays.com/product/hot-dog-plates/","Hot Dog Plates Wholesale | Hot Dog Trays","Hot Dog Plates | Flat Serving Plates, Custom","Serve hot dogs neatly on sturdy hot-dog plates that hold buns and toppings. free design, fast shipping & durable materials, Organize with Hot Dog Trays","Flat hot dog plates for buffets and table service. Custom sizes and printing, with bulk quantities for events.","Title now names the flat-plate format, separating it from the tray pages."
"https://hotdogtrays.com/product/hot-dog-serving-tray/","Hot Dog Serving Tray Wholesale | Hot Dog Trays","Hot Dog Serving Trays | Custom Sizes for Service","Serve hot dogs neatly with sturdy trays and plates. free design, fast shipping & durable materials, Organize with Hot Dog Trays","Open hot dog serving trays built around your portion size. Custom printing, grease-resistant board and bulk ordering.","Uniform wholesale title replaced with the sizing intent that matches the page content."
"https://hotdogtrays.com/product/kraft-hot-dog-tray/","Kraft Hot Dog Tray Wholesale | Hot Dog Trays","Kraft Hot Dog Trays | Natural Board, Custom Print","Buy Kraft hot dog tray packaging in custom sizes with grease-resistant board and crisp printing. free design, fast shipping & durable materials.","Kraft hot dog trays in natural brown board. Custom sizes, grease-resistant options and printing designed for kraft stock.","317 impressions, 2 clicks. Title now names the material property that drives the query rather than the repeated modifier."
"https://hotdogtrays.com/product/paper-hot-dog-trays/","Paper Hot Dog Trays Wholesale | Hot Dog Trays","Paper Hot Dog Trays | Custom Printed & Bulk","Shop paper hot dog trays in bulk with custom printing, free design, fast shipping & durable materials. Organize with Hot Dog Trays","Custom paper hot dog trays in your own sizes and printing. Grease-resistant board options and wholesale quantities.","Generic wholesale title replaced with the custom-print and bulk intent the page serves."
"https://hotdogtrays.com/product/plastic-hot-dog-trays/","Plastic Hot Dog Trays Wholesale | Hot Dog Trays","Plastic Hot Dog Trays | Rigid Trays for Wet Menus","Serve food clean with plastic hot dog trays built for events, concessions, and takeout. Free design, fast shipping & durable materials.","Rigid plastic hot dog trays for saucy menus and longer journeys. Custom sizes, bulk quantities and a straight comparison with paper.","Second-best page (3 clicks, position 15.0). Title now signals the genuine advantage — rigidity for wet menus — rather than repeating ""Wholesale""."
"https://hotdogtrays.com/product/red-and-white-hot-dog-trays/","Red and White Hot Dog Trays Wholesale | Hot Dog Trays","Red and White Hot Dog Trays | Classic Striped","Red and white hot dog trays for clean serving and quick takeaway. free design, fast shipping & durable materials, Organize with Hot Dog Trays","Classic red and white striped hot dog trays for concessions, fairs and events. Custom sizes and printed alternatives available.","Differentiated on the recognisable striped look rather than repeating ""Wholesale""."
"https://hotdogtrays.com/sample-page/","Sample Page - Hot Dog Trays","Sample Page - Hot Dog Trays","","Sample page retained from the previous WordPress installation.","No description existed; created from the visible content"
"https://hotdogtrays.com/shipping/","Shipping - Hot Dog Trays","Shipping - Hot Dog Trays","","How Hot Dog Trays orders are processed, shipped and delivered, including processing times, tracking and international shipping.","No description existed; created from the visible content"
"https://hotdogtrays.com/shop/","Shop - Hot Dog Trays","Custom Hot Dog Trays | Wholesale Paper, Cardboard & Kraft","","Shop wholesale hot dog trays in paper, cardboard, kraft and plastic. Custom sizes, custom printing and bulk pricing.","Inherited the stronger metadata from the consolidated /product-category/products/ archive"
"https://hotdogtrays.com/terms-conditions/","Terms Conditions - Hot Dog Trays","Terms Conditions - Hot Dog Trays","","The terms and conditions that govern your use of HotDogTrays.com, our products, orders, payments and services.","No description existed; created from the visible content"
